순번/순위,구분,상품명,ItemId,ISBN13,부가기호,저자/아티스트,출판사/제작사,출간일,정가,판매가,마일리지,세일즈포인트,대표분류(대분류명)
"1","국내도서","지박소년 하나코 군 10","246859006","9791130799582","","아이다이로 지음","루트미디어","20200730","5,500","4,950","270점","3002","만화"
"2","국내도서","연의 편지 (어나더커버 특별판, 양장)","246524523","9791196155773","07650","조현아 지음","손봄북스","20200720","18,000","16,200","900점","22956","만화"
"3","국내도서","부의 대이동","246075391","9791196831080","03320","오건영 지음","페이지2(page2)","20200723","17,000","15,300","850점","14043","경제경영"
"4","국내도서","김미경의 리부트","243258385","9788901243665","03320","김미경 지음","웅진지식하우스","20200701","16,000","14,400","800점","16928","자기계발"
"5","국내도서","돈의 속성","241916428","9791188331796","03320","김승호 지음","스노우폭스북스","20200615","16,800","15,120","840점","15764","경제경영"
"6","국내도서","존리의 부자되기 습관 (리커버)","246392181","9791187481720","13320","존 리 지음","지식노마드","20200723","15,000","13,500","750점","4430","경제경영"
"7","국내도서","시선으로부터,","241313700","9788954672214","03810","정세랑 지음","문학동네","20200605","14,000","12,600","700점","37483","소설/시/희곡"
"8","국내도서","더 해빙","234004429","9791190382175","03320","이서윤.홍주연 지음","수오서재","20200301","16,000","14,400","800점","25126","자기계발"
"9","국내도서","킵고잉 Keep Going","246228473","9788950988487","03320","주언규(신사임당) 지음","21세기북스","20200722","18,800","16,920","940점","4937","경제경영"
"10","국내도서","읽기만 하면 내 것이 되는 1페이지 한국사 365","242450209","9791197035258","04900","심용환 지음","비에이블","20200617","16,500","14,850","820점","6059","청소년"
"11","국내도서","해커스 토익 기출 VOCA (보카)","176021392","9788965422785","13740","David Cho 지음","해커스어학연구소(Hackers)","20230724","12,900","11,610","640점","232880","외국어"
"12","국내도서","스토너 (초판본, 양장)","243703168","9788925538297","03840","존 윌리엄스 지음, 김승욱 옮김","알에이치코리아(RHK)","20200624","18,000","16,200","900점","27698","소설/시/희곡"
"13","국내도서","명탐정 코난 98","247061453","9791136721617","","아오야마 고쇼 지음","서울미디어코믹스(서울문화사)","20200725","5,500","4,950","270점","4125","만화"
"14","국내도서","기분이 태도가 되지 않게","243688983","9788901243658","03180","레몬심리 지음, 박영란 옮김","갤리온","20200630","17,000","15,300","850점","14813","자기계발"
"15","국내도서","우리가 빛의 속도로 갈 수 없다면 (호크니 리커버 에디션)","243949814","9791190090018","03810","김초엽 지음","허블","20190624","14,000","12,600","700점","63977","소설/시/희곡"
"16","국내도서","김지은입니다","234361769","9791189623036","03300","김지은 지음","봄알람","20200305","17,000","15,300","850점","6741","사회과학"
"17","국내도서","2021 전한길 한국사 합격생 필기노트 (10쇄)","247194516","9791197133503","13910","전한길 지음","전한길한국사","20210210","14,000","12,600","700점","8850","수험서/자격증"
"18","국내도서","큰별쌤 최태성의 별★별한국사 기출 500제 한국사능력검정시험 심화(1.2.3급)","246291965","9791165980245","","최태성 지음","이투스북","20200721","18,000","16,200","900점","4553","수험서/자격증"
"19","국내도서","애쓰지 않고 편안하게","240541088","9791130629636","03810","김수현 지음","놀(다산북스)","20200515","15,000","13,500","750점","10948","에세이"
"20","국내도서","큰별쌤 최태성의 별★별한국사 한국사능력검정시험 심화(1.2.3급) 하","229319394","9791164421114","13910","최태성 지음","이투스북","20200131","14,500","13,050","720점","14897","수험서/자격증"
"21","국내도서","30개 도시로 읽는 세계사","243979554","9791130630366","03900","조 지무쇼 엮음, 최미숙 옮김, 진노 마사후미 감수","다산초당(다산북스)","20200706","16,800","15,120","840점","4183","역사"
"22","국내도서","여름의 빌라","244899880","9788954673105","03810","백수린 지음","문학동네","20200707","14,800","13,320","740점","14518","소설/시/희곡"
"23","국내도서","ETS 토익 정기시험 기출문제집 1000 Vol. 2 Reading (리딩)","220060490","9788917232196","14740","ETS 엮음","(주)YBM(와이비엠)","20191216","17,800","16,020","890점","47692","외국어"
"24","국내도서","ETS 토익 정기시험 기출문제집 1000 Vol. 2 Listening (리스닝)","220056418","9788917232189","13740","ETS 엮음","(주)YBM(와이비엠)","20191216","17,800","16,020","890점","43722","외국어"
"25","국내도서","카구야 님은 고백받고 싶어 17","246998476","9791134858414","","아카사카 아카 지음","학산문화사(만화)","20200723","5,500","4,950","270점","1059","만화"
"26","국내도서","큰별쌤 최태성의 별★별한국사 한국사능력검정시험 심화(1.2.3급) 상","224595935","9791164421053","13910","최태성 지음","이투스북","20191231","14,500","13,050","720점","16400","수험서/자격증"
