순번/순위,구분,상품명,ItemId,ISBN13,부가기호,저자/아티스트,출판사/제작사,출간일,정가,판매가,마일리지,세일즈포인트,대표분류(대분류명)
"1","국내도서","해리 포터와 마법사의 돌 1 (무선)","210689","9788983920683","04840","조앤 K. 롤링 지음, 김혜원 옮김","문학수첩","19991119","8,000","7,200","400점","20442","소설/시/희곡"
"2","국내도서","영어공부 절대로 하지마라!","200353","9788986167511","","정찬용 지음","사회평론","19990719","6,500","5,850","320점","3319","외국어"
"3","국내도서","가짜영어 사전","224042","9788932313818","03740","안정효 지음","현암사","20060520","25,000","22,500","1,250점","1014","외국어"
"4","국내도서","해리 포터와 마법사의 돌 2 (무선)","210691","9788983920690","04840","조앤 K. 롤링 지음, 김혜원 옮김","문학수첩","19991119","8,000","7,200","400점","18465","소설/시/희곡"
"5","국내도서","부자 아빠 가난한 아빠 1","220359","9788982732362","03320","로버트 기요사키, 샤론 레흐트 지음 | 형선호 옮김","민음인","20000210","12,000","10,800","600점","22994","경제경영"
"6","국내도서","해리 포터와 아즈카반의 죄수 1 (무선)","221820","9788983920720","04840","조앤 K. 롤링 지음, 김혜원 옮김","문학수첩","20000221","8,500","7,650","420점","16176","소설/시/희곡"
"7","국내도서","아가 雅歌","225481","9788937403392","03810","이문열 지음","민음사","20000320","10,000","9,000","500점","984","소설/시/희곡"
"8","국내도서","해리 포터와 아즈카반의 죄수 2 (무선)","221821","9788983920737","04840","조앤 K. 롤링 지음, 김혜원 옮김","문학수첩","20000221","8,500","7,650","420점","15805","소설/시/희곡"
"9","국내도서","해리 포터와 비밀의 방 1 (무선)","216131","9788983920706","04840","조앤 K. 롤링 지음, 김혜원 옮김","문학수첩","19991220","8,000","7,200","400점","16978","소설/시/희곡"
"10","국내도서","체 게바라 평전","225000","9788939203822","03860","장 코르미에 지음, 김미선 옮김","실천문학사","20000321","12,000","10,800","600점","10126","역사"
"11","국내도서","해리 포터와 비밀의 방 2 (무선)","216133","9788983920713","04840","조앤 K. 롤링 지음, 김혜원 옮김","문학수첩","19991230","8,000","7,200","400점","16601","소설/시/희곡"
"12","국내도서","도쿠가와 이에야스의 인간경영","225346","9788972881216","","도몬 후유지","작가정신","20000315","8,000","7,200","400점","1123","자기계발"
"13","국내도서","영어공부 절대로 하지마라! - 일반용 듣기와 받아쓰기","207491","9788986167542","13740","정찬용 외 지음","사회평론","19991001","9,800","8,820","490점","5454","외국어"
"14","국내도서","딸기밭","222968","9788932011523","03810","신경숙 지음","문학과지성사","20000228","11,000","9,900","550점","1356","소설/시/희곡"
"15","국내도서","그렇다고 생각하면 진짜 그렇게 된다","223138","9788972200833","","삭티 거웨인 지음, 박윤정 옮김","도솔","20000225","6,900","6,210","340점","1003","인문학"
"16","국내도서","영어공부 절대로 하지마라! - 비기너용 듣기와 받아쓰기","225566","9788986167603","13740","정찬용 외 지음","사회평론","20000301","9,800","8,820","490점","2842","외국어"
"17","국내도서","나에게는 꿈이 있습니다","225228","9788987180496","03840","클레이본 카슨 엮음, 이순희 옮김","바다출판사","20000307","15,000","13,500","750점","3791","사회과학"
"18","국내도서","다 쓰고 죽어라","223148","9788973373154","","스테판 M. 폴란. 마크 레빈 지음, 노혜숙 옮김","해냄","20000228","8,000","7,200","400점","810","경제경영"
"19","국내도서","빵가게 재습격","222816","9788979191622","","무라카미 하루키 지음, 권남희 옮김","창해","20000310","7,000","6,300","350점","1350","소설/시/희곡"
"20","국내도서","가시고기","218236","9788984370807","03810","조창인 지음","밝은세상","20000110","9,500","8,550","470점","8888","소설/시/희곡"
"21","국내도서","JAVA Programming Bible Ver.2","201740","9788931412574","","이현우, 김형국, 홍성민 지음","영진.com(영진닷컴)","19990810","32,000","28,800","1,600점","318","컴퓨터/모바일"
"22","국내도서","507년, 정복은 계속된다","223552","9788988105139","04300","노암 촘스키 지음, 오애리 옮김","이후","20000301","13,000","11,700","650점","901","사회과학"
"23","국내도서","넷 석세스","224182","9788934001621","","크리스티나 포드 헤이럭 외 지음, 이상원 옮김","거름","20000320","13,000","11,700","650점","263","경제경영"
"24","국내도서","오두막 편지","215589","9788985599214","","법정 지음","이레","19991215","7,000","6,300","350점","1922","종교/역학"
"25","국내도서","수학의 몽상","224190","9788971842676","03410","이진경","푸른숲","20000308","9,800","8,820","490점","981","과학"
"26","국내도서","디지털 다윈이즘","215882","9788984070264","","에번 I. 슈워츠 지음, 형선호 옮김","세종(세종서적)","19991215","10,000","9,000","500점","525","경제경영"
"27","국내도서","세상의 바보들에게 웃으면서 화내는 방법","208008","9788932902562","03860","움베르토 에코 지음, 이세욱 옮김","열린책들","19991010","9,500","8,550","470점","2695","에세이"
"28","국내도서","릭킴의 미국 영어발음 무작정 따라하기","205426","9788995145104","","릭킴, 오경은 지음","길벗이지톡","19990910","12,000","10,800","600점","2943","외국어"
"29","국내도서","교수와 광인","223583","9788984070318","","사이먼 윈체스터 지음, 공경희 옮김","세종(세종서적)","20000301","8,500","7,650","420점","599","인문학"
"30","국내도서","만행 1","209793","9788970632070","","현각 지음, 김홍희 사진","열림원","19991105","7,000","6,300","350점","2198","종교/역학"
"31","국내도서","재미있게 말하는 사람이 성공한다","199845","9788988086339","","김석준 지음","책이있는마을","19990720","7,500","6,750","370점","62","자기계발"
"32","국내도서","성공적인 웹 사이트의 10가지 비결","204519","9788970591094","","데이비드 시걸 지음, 조현각 옮김","안그라픽스","19990905","25,000","22,500","1,250점","995","컴퓨터/모바일"
"33","국내도서","중국어 첫걸음 -상 ","135632","9788985705929","03720","주양곤","동양북스(동양문고)","19960201","6,000","5,400","300점","53","외국어"
"34","국내도서","인터넷 무작정 따라하기","119794","9788975600456","","유해룡 지음","길벗","20001130","16,500","14,850","820점","555","컴퓨터/모바일"
"35","국내도서","엄마가 만드는 꼬마철학자","208292","9788995061916","03370","에바 졸러 지음, 김현자 옮김","인북스","19991010","7,500","6,750","370점","2201","좋은부모"
"36","국내도서","내 여자의 열매","225321","9788936436575","03810","한강 지음","창비","20000315","11,000","9,900","550점","1714","소설/시/희곡"
"37","국내도서","영어공부 절대로 하지마라! - 주니어용 듣기와 받아쓰기","210415","9788986167559","13740","정찬용","사회평론","19991101","9,800","8,820","490점","2527","외국어"
"38","국내도서","살아있는 한 우리는 절망하지 않는다","223198","9788986183399","","알프레드 랜싱 지음, 유혜경 옮김","뜨인돌","20000303","8,500","7,650","420점","268","에세이"
"39","국내도서","나모 웹에디터 3.0과 함께하는 홈페이지 여행","192629","9788973542123","","안상률","가남사","19990510","11,000","9,900","550점","29","컴퓨터/모바일"
"40","국내도서","인터넷 비즈니스.COM","211706","9788931413144","","김진우 지음","영진.com(영진닷컴)","19991110","19,500","17,550","970점","583","경제경영"
"41","국내도서","기업 해체와 인터넷 혁명","220382","9788984070295","03320","필립 에번스, 토머스 워스터 지음","세종(세종서적)","20000201","13,000","11,700","650점","465","경제경영"
"42","국내도서","노자와 21세기 - 1","211482","9788982640919","03150","김용옥 지음","통나무","19991111","6,500","5,850","320점","3903","인문학"
"43","국내도서","신춘문예 당선소설작품집 1999","90740","9788987013268","","구경미 외","프레스21","19990126","10,000","9,000","500점","46","소설/시/희곡"
"44","국내도서","시인의 별","219571","9788970123455","03810","이인화 외 지음","문학사상사","20000125","12,000","10,800","600점","912","소설/시/희곡"
"45","국내도서","그것은 꿈이었을까","214672","9788972751076","","은희경 지음","현대문학","19991203","7,500","6,750","370점","426","소설/시/희곡"
"46","국내도서","나란나란 세계사 도란도란 한국사","223356","9788934904724","77900","이원복 외 지음","김영사","20000307","7,900","7,110","390점","1282","청소년"
"47","국내도서","Visual C++ Programming Bible ver 6.X","186401","9788931410426","","이상엽 지음","영진.com(영진닷컴)","20010130","45,000","40,500","2,250점","695","컴퓨터/모바일"
"48","국내도서","시대를 앞서간 여자들의 거짓과 비극의 역사","216958","9788972881186","","로사 몬떼로 지음, 정창 옮김","작가정신","20000110","8,000","7,200","400점","654","사회과학"
"49","국내도서","거짓의 날들 1","224634","9788970131771","","나딘 고디머 지음, 왕은철 옮김","책세상","20000310","7,500","6,750","370점","219","소설/시/희곡"
"50","국내도서","침묵의 언어","224818","9788935652235","04380","에드워드 홀 지음, 최효선 옮김","한길사","20000305","15,000","13,500","750점","536","인문학"
"51","국내도서","아이에게 행복을 주는 비결 1","213524","9788987871264","03180","스티브 비덜프 지음, 전순영 옮김","북하우스","19991130","8,500","7,650","420점","11016","좋은부모"
"52","국내도서","건축조형.의장","7592","9788987858067","93610","도규환 지음","서우","20140110","19,000","19,000","950점","36","대학교재/전문서적"
"53","국내도서","화성에서 온 남자 금성에서 온 여자","173083","9788987268965","","존 그레이 지음, 김경숙 옮김","동녘라이프(친구미디어)","20021201","10,000","9,000","500점","17691","요리/살림"
"54","국내도서","최고의 우리맛","220152","9788970901916","23590","심영순 지음","동아일보사","20000131","12,000","10,800","600점","2778","요리/살림"
"55","국내도서","로마인 이야기 8","209408","9788935652099","04900","시오노 나나미 지음, 김석희 옮김","한길사","19991029","18,500","16,650","920점","6596","역사"
"56","국내도서","그림책을 보고 크는 아이들","21093","9788971965016","23380","이상금 지음","사계절","19980725","10,500","9,450","520점","4946","좋은부모"
"57","국내도서","만행 2","209795","9788970632087","","현각 지음, 김홍희 사진","열림원","19991105","7,000","6,300","350점","1879","종교/역학"
"58","국내도서","전자상거래 관리사","225878","9788931414219","","정태명","영진.com(영진닷컴)","20000321","23,000","20,700","1,150점","302","컴퓨터/모바일"
"59","국내도서","무소유","205592","9788908041318","03810","법정스님 지음","범우사","19990805","8,000","7,200","400점","14555","종교/역학"
"60","국내도서","풍경","203884","9788985599221","03810","원성 글.그림","이레","19990830","8,000","7,200","400점","1907","종교/역학"
"61","국내도서","가상사회와 전자상거래","3114","9788984070080","","아더 암스트롱.존 하겔 3세 지음, 한영주 옮김","세종(세종서적)","19990215","12,000","10,800","600점","735","경제경영"
"62","국내도서","목화밭 엽기전","224573","9788982812675","03810","백민석 지음","문학동네","20000315","8,500","7,650","420점","336","소설/시/희곡"
"63","국내도서","로마인 이야기 7","44613","9788935610891","04900","시오노 나나미 지음, 김석희 옮김","한길사","19981120","19,500","17,550","970점","6513","역사"
"64","국내도서","WHY NOT?","221946","9788985548526","03300","유시민 지음","개마고원","20000217","12,000","10,800","600점","1666","사회과학"
"65","국내도서","뒤집어본 영문법","42025","9788934903680","","네오퀘스트 지음","김영사","20010210","8,900","8,010","440점","2434","외국어"
