순번/순위,구분,상품명,ItemId,ISBN13,부가기호,저자/아티스트,출판사/제작사,출간일,정가,판매가,마일리지,세일즈포인트,대표분류(대분류명)
"1","국내도서","골든아워 1","168915737","9788965962823","04810","이국종 지음","흐름출판","20181002","17,800","16,020","890점","26153","에세이"
"2","국내도서","골든아워 2","168915857","9788965962830","04810","이국종 지음","흐름출판","20181002","15,800","14,220","790점","19162","에세이"
"3","국내도서","우리가 보낸 가장 긴 밤","172995535","9791158160869","03810","이석원 지음","달","20181112","13,800","12,420","690점","7362","에세이"
"4","국내도서","트렌드 코리아 2019","170467155","9788959895526","13320","김난도 외 지음","미래의창","20181024","17,000","15,300","850점","15014","경제경영"
"5","국내도서","12가지 인생의 법칙","172152642","9791196067694","03180","조던 B. 피터슨 지음, 강주헌 옮김","메이븐","20181030","16,800","15,120","840점","22114","인문학"
"6","국내도서","네이티브 영어표현력 사전","171686552","9788927701057","13740","이창수 지음","다락원","20181025","25,000","22,500","1,250점","20666","외국어"
"7","국내도서","수미네 반찬","171268338","9788931587012","14590","김수미 외 지음","성안당","20181030","17,000","15,300","850점","12318","요리/살림"
"8","국내도서","룬의 아이들 - 블러디드 1","173027732","9788954653558","04810","전민희 지음","엘릭시르","20181123","14,500","13,050","720점","8256","소설/시/희곡"
"9","국내도서","작별","170717710","9791188810666","03810","한강 외 지음","은행나무","20181019","12,000","10,800","600점","7926","소설/시/희곡"
"10","국내도서","참을 수 없는 존재의 가벼움","152511699","9788937437564","03860","밀란 쿤데라 지음, 이재룡 옮김","민음사","20180620","17,000","15,300","850점","82154","소설/시/희곡"
"11","국내도서","당신이 옳다","169387318","9788965746669","03180","정혜신 지음","해냄","20181010","17,500","15,750","870점","49478","인문학"
"12","국내도서","나는 그것에 대해 아주 오랫동안 생각해","171913872","9788960905481","03810","김금희 지음, 곽명주 그림","마음산책","20181030","13,500","12,150","670점","4154","소설/시/희곡"
"13","국내도서","죽고 싶지만 떡볶이는 먹고 싶어","151362923","9791196394509","03810","백세희 지음","흔","20180620","13,800","12,420","690점","28417","에세이"
"14","국내도서","5년 후 나에게 - Q&A a day (2019 홀로그램 리미티드 에디션)","171847604","9791158510244","14190","포터 스타일 지음, 정지현 옮김","토네이도","20181112","16,800","15,120","840점","7821","자기계발"
"15","국내도서","제0호","171021283","9788932919270","03880","움베르토 에코 지음, 이세욱 옮김","열린책들","20181030","15,800","14,220","790점","4073","소설/시/희곡"
"16","국내도서","악의 꽃 (앙리 마티스 에디션)","173345976","9788931011203","03860","샤를 피에르 보들레르 지음, 앙리 마티스 엮고 그림, 김인환 옮김, 정장진 그","문예출판사","20181105","13,000","11,700","650점","4121","소설/시/희곡"
"17","국내도서","떨림과 울림","172998958","9788962622508","03400","김상욱 지음","동아시아","20181107","15,000","13,500","750점","28761","과학"
"18","국내도서","2019 선재국어 한 권으로 정리하는 마무리","173784566","9791163710592","13710","이선재 지음","에스티유니타스","20181120","21,000","18,900","0점","5074","수험서/자격증"
"19","국내도서","슬픔을 공부하는 슬픔","162341433","9791160401967","03810","신형철 지음","한겨레출판","20180922","16,000","14,400","800점","34537","에세이"
"20","국내도서","역사의 역사","149445257","9788971998557","03900","유시민 지음","돌베개","20180625","16,000","14,400","800점","39849","역사"
"21","국내도서","바르도의 링컨","171597931","9788954653428","03840","조지 손더스 지음, 정영목 옮김","문학동네","20181108","15,800","14,220","790점","2126","소설/시/희곡"
"22","국내도서","열두 발자국","150722838","9791160560510","03400","정재승 지음","어크로스","20180702","16,800","15,120","840점","27005","인문학"
"23","국내도서","월간순정 노자키 군 10","173355177","9791134805098","07650","츠바키 이즈미 지음","학산문화사(만화)","20181108","5,500","4,950","270점","3879","만화"
"24","국내도서","150년 하버드 글쓰기 비법","171939050","9791189279219","03190","송숙희 지음","유노북스","20181105","14,500","13,050","720점","3358","자기계발"
"25","국내도서","21세기를 위한 21가지 제언","162341445","9788934982975","03900","유발 하라리 지음, 전병근 옮김","김영사","20180903","22,000","19,800","1,100점","22700","인문학"
"26","국내도서","처음부터 잘 쓰는 사람은 없습니다","171099090","9791162209288","03800","이다혜 지음","위즈덤하우스","20181008","13,800","12,420","690점","4240","인문학"
"27","국내도서","방구석 미술관","160764494","9788968331862","03600","조원재 지음","블랙피쉬","20180803","16,800","15,120","840점","9206","예술/대중문화"
"28","국내도서","이기적 유전자","170482558","9788932473901","03470","리처드 도킨스 지음, 홍영남.이상임 옮김","을유문화사","20181020","20,000","18,000","1,000점","100292","과학"
"29","국내도서","Becoming 비커밍","173048689","9788901227580","03300","미셸 오바마 지음, 김명남 옮김","웅진지식하우스","20181114","22,000","19,800","1,100점","5017","인문학"
"30","국내도서","해커스 토익 기출 보카","83405075","9788965421832","13740","데이빗 조 (David Cho) 지음","해커스어학연구소(Hackers)","20180809","12,900","11,610","640점","261938","외국어"
"31","국내도서","돌이킬 수 없는 약속","101745680","9788998274795","03830","야쿠마루 가쿠 지음, 김성미 옮김","북플라자","20170202","15,000","13,500","750점","23821","소설/시/희곡"
"32","국내도서","있으려나 서점 (겨울 스페셜 에디션)","173735111","9788934981237","03830","요시타케 신스케 지음, 고향옥 옮김","온다","20181113","12,800","11,520","640점","42805","에세이"
"33","국내도서","82년생 김지영","94764887","9788937473135","04810","조남주 지음","민음사","20161014","14,000","12,600","700점","94571","소설/시/희곡"
"34","국내도서","모든 순간이 너였다 (한정 스페셜 에디션)","171781820","9791162202913","03810","하태완 지음","위즈덤하우스","20180216","13,800","12,420","690점","23610","에세이"
"35","국내도서","하마터면 열심히 살 뻔했다 (겨울 에디션)","173868379","9788901223032","03810","하완 지음","웅진지식하우스","20180423","15,000","13,500","750점","17229","에세이"
"36","국내도서","퇴근길 인문학 수업 : 멈춤","162341453","9791157842858","04300","백상경제연구원 지음","한빛비즈","20180915","17,000","15,300","850점","4035","인문학"
"37","국내도서","2019 전한길 한국사 3.0 기출문제집","170087767","9791161319698","14910","전한길 지음","에스티유니타스","20181015","37,000","33,300","0점","5557","수험서/자격증"
"38","국내도서","원피스 90","171233510","9791133491148","07830","오다 에이치로 지음","대원씨아이(만화)","20181018","5,000","4,500","250점","6399","만화"
