순번/순위,구분,상품명,ItemId,ISBN13,부가기호,저자/아티스트,출판사/제작사,출간일,정가,판매가,마일리지,세일즈포인트,대표분류(대분류명)
"1","국내도서","직업으로서의 소설가","81267538","9788972757719","03830","무라카미 하루키 지음, 양윤옥 옮김","현대문학","20160425","16,800","15,120","840점","20604","에세이"
"2","국내도서","미움받을 용기 2 (반양장)","81236838","9791186560129","03180","기시미 이치로.고가 후미타케 지음, 전경아 옮김","인플루엔셜(주)","20160430","14,900","13,410","740점","21262","인문학"
"3","국내도서","2016 선재국어 나침판 실전모의고사 Vol.2","82753819","9791156176466","13710","이선재 지음","에스티앤북스(ST&BOOKS)","20160510","17,000","17,000","0점","2968","수험서/자격증"
"4","국내도서","완벽하지 않은 것들에 대한 사랑","75436477","9791195322183","03810","혜민 지음, 이응견 그림","수오서재","20160203","14,800","13,320","740점","37504","에세이"
"5","국내도서","미움받을 용기 (반양장)","48463031","9788996991342","13180","기시미 이치로 외 지음, 전경아 옮김, 김정운 감수","인플루엔셜(주)","20141117","14,900","13,410","740점","104677","인문학"
"6","국내도서","종의 기원","74920934","9788956609959","03810","정유정 지음","은행나무","20160514","16,800","15,120","840점","43775","소설/시/희곡"
"7","국내도서","그날의 파란 하늘 : 바닷마을 다이어리 7","82648573","9788959198030","07830","요시다 아키미 지음, 조은하 옮김","애니북스","20160506","8,500","7,650","420점","4265","만화"
"8","국내도서","사피엔스 (무선본)","56868780","9788934972464","03900","유발 하라리 지음, 조현욱 옮김, 이태수 감수","김영사","20151123","22,000","19,800","1,100점","78890","인문학"
"9","국내도서","2016 제7회 젊은작가상 수상작품집","81528437","9788954640190","03810","김금희 외 지음","문학동네","20160412","12,000","10,800","600점","7282","소설/시/희곡"
"10","국내도서","제3인류 5","74920931","9788932917665","04860","베르나르 베르베르 지음, 이세욱 옮김","열린책들","20160430","13,800","12,420","690점","3995","소설/시/희곡"
"11","국내도서","지적 대화를 위한 넓고 얕은 지식 : 현실 세계 편 (반양장)","49481412","9788994120966","13100","채사장 지음","한빛비즈","20141124","16,000","14,400","800점","64385","인문학"
"12","국내도서","제3인류 6","82540258","9788932917672","04860","베르나르 베르베르 지음, 전미연 옮김","열린책들","20160430","13,800","12,420","690점","3862","소설/시/희곡"
"13","국내도서","할머니가 미안하다고 전해달랬어요","79803644","9791130607887","03850","프레드릭 배크만 지음, 이은선 옮김","다산책방","20160404","14,800","13,320","740점","6104","소설/시/희곡"
"14","국내도서","채식주의자","1000152","9788936433598","03810","한강 지음","창비","20071030","12,000","10,800","600점","57521","소설/시/희곡"
"15","국내도서","오베라는 남자","59486892","9791130605210","03850","프레드릭 배크만 지음, 최민우 옮김","다산책방","20150514","13,800","12,420","690점","25306","소설/시/희곡"
"16","국내도서","초판본 하늘과 바람과 별과 詩","72369420","9788998046682","04810","윤동주 지음","소와다리","20160130","9,800","8,820","490점","54006","소설/시/희곡"
"17","국내도서","하이큐!! 19","83043978","9791133448364","07830","후루다테 하루이치 지음","대원씨아이(만화)","20160503","5,000","4,500","250점","4977","만화"
"18","국내도서","나쁜 페미니스트","79080609","9791195716937","03300","록산 게이 지음, 노지양 옮김","사이행성","20160314","15,800","14,220","790점","19748","사회과학"
"19","국내도서","2016 선재국어 서울시 SOS 실전모의고사 - 전3권","82754627","9791156176343","13710","이선재 지음","에스티앤북스(ST&BOOKS)","20160510","25,000","22,500","1,250점","1039","수험서/자격증"
"20","국내도서","재레드 다이아몬드의 나와 세계","74920713","9788934974376","03900","재레드 다이아몬드 지음, 강주헌 옮김","김영사","20160428","14,800","13,320","740점","2972","인문학"
"21","국내도서","틀리지 않는 법","74921141","9788932917658","03410","조던 앨런버그 지음, 김명남 옮김","열린책들","20160425","25,000","22,500","1,250점","8052","과학"
"22","국내도서","나미야 잡화점의 기적 (양장)","21753305","9788972756194","03830","히가시노 게이고 지음, 양윤옥 옮김","현대문학","20121219","14,800","13,320","740점","110961","소설/시/희곡"
"23","국내도서","사라진 왕국의 성","82207825","9788998791513","04830","미야베 미유키 지음, 김소연 옮김","북스피어","20160503","14,000","12,600","700점","1514","소설/시/희곡"
"24","국내도서","이 멋진 세계에 축복을! 6 (특별판)","82779075","8809504410009","1","아카츠키 나츠메 지음, 이승원 옮김, 미시마 쿠로네 그림","디앤씨미디어(주)(D&C미디어)","20160510","15,400","13,860","770점","807","소설/시/희곡"
"25","국내도서","5년 후 나에게 - Q&A a day","69169295","9791158510244","14190","포터 스타일 지음, 정지현 옮김","토네이도","20151116","14,800","13,320","740점","30137","자기계발"
"26","국내도서","봄철 한정 딸기 타르트 사건","82704223","9788954640268","04830","요네자와 호노부 지음, 김선영 옮김","엘릭시르","20160429","13,500","12,150","670점","6255","소설/시/희곡"
"27","국내도서","2030년 학력 붕괴 시대의 내 아이가 살아갈 힘","82089296","9788996424765","03370","텐게시로 지음, 장현주 옮김","오리진하우스","20160421","13,800","12,420","690점","1353","좋은부모"
"28","국내도서","지적 대화를 위한 넓고 얕은 지식 : 현실 너머 편 (반양장)","51776678","9788994120997","13100","채사장 지음","한빛비즈","20150201","16,000","14,400","800점","40034","인문학"
"29","국내도서","어른 초등학생","82658837","9791186195574","03830","마스다 미리 지음, 박정임 옮김","이봄","20160428","13,000","11,700","650점","1368","에세이"
"30","국내도서","클라우스 슈밥의 제4차 산업혁명","80999699","9788962805901","03320","클라우스 슈밥 지음, 송경진 옮김","메가스터디북스","20160420","18,000","16,200","900점","14798","경제경영"
"31","국내도서","웬만해선 아무렇지 않다","77794737","9788960902572","03810","이기호 지음, 박선경 그림","마음산책","20160225","12,500","11,250","620점","7773","소설/시/희곡"
"32","국내도서","그랜드 부다페스트 호텔","74889169","9791155810767","03680","매트 졸러 세이츠 지음, 조동섭 옮김","윌북","20160215","22,000","19,800","1,100점","13150","예술/대중문화"
