순번/순위,구분,상품명,ItemId,ISBN13,부가기호,저자/아티스트,출판사/제작사,출간일,정가,판매가,마일리지,세일즈포인트,대표분류(대분류명)
"1","국내도서","나는 메트로폴리탄 미술관의 경비원입니다","328923887","9788901276533","03840","패트릭 브링리 지음, 김희정.조현주 옮김","웅진지식하우스","20231124","17,500","15,750","870점","194507","에세이"
"2","국내도서","ETS 토익 정기시험 기출문제집 1000 Vol. 4 Reading (리딩)","330109498","9788917239508","14740","ETS 엮음","(주)YBM(와이비엠)","20231218","19,800","17,820","990점","173187","외국어"
"3","국내도서","ETS 토익 정기시험 기출문제집 1000 Vol. 4 Listening (리스닝)","330109271","9788917239492","14740","ETS 엮음","(주)YBM(와이비엠)","20231218","19,800","17,820","990점","157155","외국어"
"4","국내도서","마흔에 읽는 쇼펜하우어","323615985","9791192300818","03160","강용수 지음","유노북스","20230907","17,000","15,300","850점","172508","인문학"
"5","국내도서","2024 큰별쌤 최태성의 별★별한국사 한국사능력검정시험 심화(1, 2, 3급) 상","329745037","9791138919999","13910","최태성 지음","이투스북","20231201","16,000","14,400","800점","131050","수험서/자격증"
"6","국내도서","세이노의 가르침 (화이트 에디션)","309295168","9791168473690","03190","세이노(SayNo) 지음","데이원","20230302","7,200","6,480","360점","597198","자기계발"
"7","국내도서","이처럼 사소한 것들","329386807","9791130646381","03840","클레어 키건 지음, 홍한별 옮김","다산책방","20231127","13,800","12,420","690점","168854","소설/시/희곡"
"8","국내도서","처음부터 시작하는 주식투자 단타전략","330342383","9791140707492","03320","홍인기 지음","길벗","20231222","21,000","18,900","1,050점","66698","경제경영"
"9","국내도서","2024 큰별쌤 최태성의 별★별한국사 한국사능력검정시험 심화(1, 2, 3급) 하","329745341","9791138920001","13910","최태성 지음","이투스북","20231201","15,500","13,950","770점","119689","수험서/자격증"
"10","국내도서","남에게 보여주려고 인생을 낭비하지 마라","326484595","9791169850445","03100","아르투어 쇼펜하우어 지음, 박제헌 옮김","페이지2(page2)","20231030","17,500","15,750","870점","88169","인문학"
"11","국내도서","유목민의 투자의 정석","331958071","9788901279282","03320","유목민 지음","리더스북","20240117","28,000","25,200","1,400점","29588","경제경영"
"12","국내도서","도둑맞은 집중력","315599742","9791167740984","03180","요한 하리 지음, 김하현 옮김","어크로스","20230428","18,800","16,920","940점","182219","인문학"
"13","국내도서","맡겨진 소녀","315552626","9791130698199","03840","클레어 키건 지음, 허진 옮김","다산책방","20230426","13,000","11,700","650점","100903","소설/시/희곡"
"14","국내도서","세상은 이야기로 만들어졌다","325850674","9791192953151","03300","자미라 엘 우아실.프리데만 카릭 지음, 김현정 옮김","원더박스","20231016","27,000","24,300","1,350점","38563","인문학"
"15","국내도서","퓨처 셀프","323548193","9791192389325","03320","벤저민 하디 지음, 최은아 옮김","상상스퀘어","20230830","19,800","17,820","990점","162847","자기계발"
"16","국내도서","손끝과 연연 9","331805260","9791141116873","","모리시타 수 지음","학산문화사(만화)","20240109","6,000","5,400","300점","12302","만화"
"17","국내도서","트렌드 코리아 2024","324439262","9788959897179","13320","김난도 외 지음","미래의창","20231005","19,000","17,100","950점","117989","경제경영"
"18","국내도서","더 마인드 (10만 부 기념 코멘터리 북)","332027100","9788901276571","03190","하와이 대저택 지음","웅진지식하우스","20240110","19,800","17,820","990점","53982","자기계발"
"19","국내도서","1일 1페이지 영어 어원 365","326944341","9791139716122","03740","김동섭 지음","현대지성","20231025","19,900","17,910","990점","19367","인문학"
"20","국내도서","아주 희미한 빛으로도","321294005","9788954695053","03810","최은영 지음","문학동네","20230807","16,800","15,120","840점","85936","소설/시/희곡"
"21","국내도서","내가 생각한 인생이 아니야","330035420","9791193238172","03810","류시화 지음","수오서재","20231221","18,000","16,200","900점","44602","에세이"
"22","국내도서","도시와 그 불확실한 벽","323553082","9788954699075","03830","무라카미 하루키 지음, 홍은주 옮김","문학동네","20230906","19,500","17,550","970점","175496","소설/시/희곡"
"23","국내도서","죽음이 물었다, 어떻게 살 거냐고","330010186","9791193506219","03190","한스 할터 지음, 한윤진 옮김","포레스트북스","20231225","17,800","16,020","890점","22159","인문학"
"24","국내도서","해커스 토익 기출 VOCA (보카)","176021392","9788965422785","13740","David Cho 지음","해커스어학연구소(Hackers)","20230724","12,900","11,610","640점","232880","외국어"
"25","국내도서","내가 한 말을 내가 오해하지 않기로 함","330384053","9791189352745","03810","문상훈 지음","위너스북","20240105","19,800","17,820","990점","61180","에세이"
"26","국내도서","역행자 확장판 (50만 부 기념 유니버스 에디션)","327098816","9788901272580","03320","자청 지음","웅진지식하우스","20231023","19,500","17,550","970점","128635","자기계발"
"27","국내도서","별의 길","329746999","9788954697132","03810","양세형 지음","이야기장수","20231204","13,800","12,420","690점","9019","소설/시/희곡"
"28","국내도서","괴수 8호 11 (트리플 특장판)","331880951","","","마츠모토 나오야 지음, 유유리 옮김","서울미디어코믹스(서울문화사)","20240131","6,000","5,400","300점","5367","만화"
"29","국내도서","느리게 나이 드는 습관","329417970","9791193080146","03510","정희원 지음","한빛라이프","20231211","18,000","16,200","900점","61784","건강/취미"
"30","국내도서","메리골드 마음 사진관","331161522","9791198530325","03810","윤정은 지음, 송지혜 북디자이너","북로망스","20240112","17,000","15,300","850점","24174","소설/시/희곡"
"31","국내도서","불멸의 지혜","330367488","9791191769586","03320","월러스 델로이드 와틀즈 지음, 서진 엮음","스노우폭스북스","20231220","16,800","15,120","840점","16584","경제경영"
