순번/순위,구분,상품명,ItemId,ISBN13,부가기호,저자/아티스트,출판사/제작사,출간일,정가,판매가,마일리지,세일즈포인트,대표분류(대분류명)
"1","국내도서","한번도 경험해보지 못한 나라","249745015","9791190413152","03300","강양구 외 지음","천년의상상","20200825","17,800","16,020","890점","10167","사회과학"
"2","국내도서","완전학습 바이블","248923913","9791130631134","03370","임작가 지음","다산에듀","20200818","17,000","15,300","850점","10442","좋은부모"
"3","국내도서","심판","249197029","9788932920405","03860","베르나르 베르베르 지음, 전미연 옮김","열린책들","20200830","14,800","13,320","740점","21379","소설/시/희곡"
"4","국내도서","공부란 무엇인가","247906015","9791190030632","03100","김영민 지음","어크로스","20200826","16,000","14,400","800점","10170","인문학"
"5","국내도서","박막례시피","247906129","9791190758185","13590","박막례.김유라 지음","미디어창비","20200914","17,500","15,750","870점","3906","요리/살림"
"6","국내도서","어른의 어휘력","247792942","9791190710053","03800","유선경 지음","앤의서재","20200815","16,500","14,850","820점","9068","인문학"
"7","국내도서","살고 싶다는 농담","248398556","9788901244600","03810","허지웅 지음","웅진지식하우스","20200812","16,000","14,400","800점","10982","에세이"
"8","국내도서","돈의 속성","241916428","9791188331796","03320","김승호 지음","스노우폭스북스","20200615","16,800","15,120","840점","15764","경제경영"
"9","국내도서","이토록 공부가 재미있어지는 순간 (10만 부 기념 스페셜 에디션)","247427156","9791130604626","13370","박성혁 지음","다산북스","20200727","15,000","13,500","750점","16882","청소년"
"10","국내도서","나의 히어로 아카데미아 27 (한정판)","250045347","","","호리코시 코헤이 지음","서울미디어코믹스(서울문화사)","20200826","5,000","4,500","250점","1106","만화"
"11","국내도서","복자에게","249770777","9788954674492","03810","김금희 지음","문학동네","20200909","14,000","12,600","700점","5526","소설/시/희곡"
"12","국내도서","매우 예민한 사람들을 위한 책","246390870","9788967358020","03180","전홍진 지음","글항아리","20200723","18,000","16,200","170점","16866","인문학"
"13","국내도서","김미경의 리부트","243258385","9788901243665","03320","김미경 지음","웅진지식하우스","20200701","16,000","14,400","800점","16928","자기계발"
"14","국내도서","보건교사 안은영","71643531","9788937473098","04810","정세랑 지음","민음사","20151207","13,000","11,700","650점","10621","소설/시/희곡"
"15","국내도서","시선으로부터,","241313700","9788954672214","03810","정세랑 지음","문학동네","20200605","14,000","12,600","700점","37483","소설/시/희곡"
"16","국내도서","정년이 2","250042696","9788954674058","07810","서이레 지음, 나몬 그림","문학동네","20200831","15,000","13,500","750점","2623","만화"
"17","국내도서","지박소년 하나코 군 11","249204421","9791130799742","","아이다이로 지음","루트미디어","20200827","5,500","4,950","270점","2964","만화"
