순번/순위,구분,상품명,ItemId,ISBN13,부가기호,저자/아티스트,출판사/제작사,출간일,정가,판매가,마일리지,세일즈포인트,대표분류(대분류명)
"1","국내도서","트렌드 코리아 2022","279711074","9788959897001","13320","김난도 외 지음","미래의창","20211006","18,000","16,200","900점","20088","경제경영"
"2","국내도서","갯마을 차차차 포토에세이","281433610","9791168030060","03810","스튜디오 드래곤 지음","북로그컴퍼니","20211015","28,000","25,200","1,400점","0","에세이"
"3","국내도서","일기 日記","281053741","9788936438586","03810","황정은 지음","창비","20211018","14,000","12,600","700점","5586","에세이"
"4","국내도서","괴수 8호 4 (캐릭터 일러스트 카드 + 스페셜 일러스트 카드 포함 특장판)","281369036","","","마츠모토 나오야 지음, 유유리 옮김","서울미디어코믹스(서울문화사)","20211029","5,500","4,950","270점","1108","만화"
"5","국내도서","그냥 하지 말라","280071727","9791191211467","03320","송길영 지음","북스톤","20211005","17,000","15,300","850점","16068","경제경영"
"6","국내도서","작별하지 않는다","278770576","9788954682152","03810","한강 지음","문학동네","20210909","14,000","12,600","700점","47660","소설/시/희곡"
"7","국내도서","공부의 본질","281214524","9791191825176","03190","이윤규 지음","빅피시","20211015","16,500","14,850","820점","4633","자기계발"
"8","국내도서","갯마을 차차차 2","280965968","9791168030053","03810","신하은 지음","북로그컴퍼니","20211108","18,000","16,200","900점","3169","예술/대중문화"
"9","국내도서","갯마을 차차차 1","280965923","9791168030046","03810","신하은 지음","북로그컴퍼니","20211108","18,000","16,200","900점","3195","예술/대중문화"
"10","국내도서","지금은 나만의 시간입니다","280599664","9791158512255","03190","김유진 지음","토네이도","20211015","15,000","13,500","750점","3256","자기계발"
"11","국내도서","달러구트 꿈 백화점 2","275874708","9791165343729","03810","이미예 지음","팩토리나인","20210727","13,800","12,420","690점","45862","소설/시/희곡"
"12","국내도서","다정소감","281210406","9791197504136","03810","김혼비 지음","(주)안온북스","20211013","15,000","13,500","750점","7874","에세이"
"13","국내도서","1차원이 되고 싶어","280318207","9788954682749","03810","박상영 지음","문학동네","20211008","14,800","13,320","740점","3911","소설/시/희곡"
"14","국내도서","달러구트 꿈 백화점","245127051","9791165341909","03810","이미예 지음","팩토리나인","20200708","13,800","12,420","690점","87106","소설/시/희곡"
"15","국내도서","지구 끝의 온실","276926308","9791191824001","03810","김초엽 지음","자이언트북스","20210818","15,000","13,500","750점","48058","소설/시/희곡"
"16","국내도서","주술회전 공식 팬북","280840739","9791136745118","","아쿠타미 게게 지음, 이정운 옮김","서울미디어코믹스(서울문화사)","20211029","10,000","9,000","500점","12336","만화"
