Rank,BName,BName_sub,ItemId,Author,Author_mul,Publshr,Pdate,RglPrice,SlsPrice,SalesPoint,Category,Sorce
636.0,내면 세계의 질서와 영적성장,,221010,고든 맥도날드,False,기타 출판사,1990-07-01,6000,5400,412.0,종교/역학,2001년1월3주
984.0,동의에의 초대,,41419,김홍경,False,기타 출판사,1990-09-01,12000,10800,399.0,대학교재/전문서적,2001년1월3주
792.0,혼불 1,,190354,최명희,False,한길사,1990-11-01,7000,6300,2137.0,소설/시/희곡,2002년8월3주
880.0,혼불 2,,190355,최명희,False,한길사,1990-11-01,7000,6300,2016.0,소설/시/희곡,2002년8월3주
578.0,혼불 3,,190356,최명희,False,한길사,1990-11-01,7000,6300,2074.0,소설/시/희곡,2002년8월3주
607.0,혼불 4,,190357,최명희,False,한길사,1990-11-01,7000,6300,2141.0,소설/시/희곡,2002년8월3주
822.0,모세와 십계명,,49841,조준상,True,기타 출판사,1990-12-01,4000,3800,586.0,종교/역학,2001년1월3주
553.0,하나뿐인 지구,,157080,신영식,False,기타 출판사,1991-04-01,7000,6300,136.0,만화,2002년8월3주
280.0,뒹구는 돌은 언제 잠 깨는가,,42038,이성복,False,문학과지성사,1992-01-01,12000,10800,6678.0,소설/시/희곡,2016년4월3주
591.0,엄마가 만드는 수학 천재,,100010,김용운,True,김영사,1992-01-25,7900,7110,441.0,좋은부모,2001년1월3주
783.0,소수 집단의 문학을 위하여: 카프카론,,82626,질 들뢰즈,True,문학과지성사,1992-03-01,5000,4500,164.0,소설/시/희곡,2001년1월3주
754.0,하나님을 경외하는 마음,,156723,조이도우슨,False,기타 출판사,1992-05-01,5000,4500,1480.0,종교/역학,2005년2월1주
427.0,성경전서 표준새번역,,78023,대한성서공회,False,기타 출판사,1993-01-01,22000,19800,50.0,종교/역학,2001년1월3주
899.0,예수님의 생애,,105869,조준상,True,기타 출판사,1993-04-01,4000,3800,630.0,종교/역학,2001년1월3주
77.0,꼭 읽어야 할 한국단편 35선,,26110,현진건,True,기타 출판사,1993-05-01,13800,12420,1485.0,청소년,2005년2월1주
225.0,나의 문화유산답사기 1,,28314,유홍준,False,창비,1993-05-01,13000,11700,6770.0,인문학,2005년2월1주
315.0,섬,,77430,장 그르니에,True,민음사,1993-07-01,8500,7650,8859.0,에세이,2002년8월3주
859.0,나는 왜 너가 아니고 나인가,,27506,시애틀 추장 외 여러 명의 인디언,True,기타 출판사,1993-08-01,6500,5850,332.0,에세이,2002년8월3주
750.0,글쓰기 어떻게 가르칠까,,21582,이오덕,False,기타 출판사,1993-08-15,11000,9900,4156.0,인문학,2005년2월1주
750.0,간디 자서전,,4103,간디,True,한길사,1993-08-30,13000,11700,393.0,사회과학,2001년1월3주
573.0,관세음보살보문품,,13667,선문 편집부,False,기타 출판사,1993-09-01,3000,2700,242.0,종교/역학,2011년12월5주
896.0,어미새의 사랑,,99282,생명의삶,False,두란노,1993-09-01,6500,5850,17.0,종교/역학,2001년1월3주
845.0,주식시장 흐름 읽는 법,,134224,우라카미 구미오,True,한국경제신문,1993-10-01,10000,9000,3827.0,경제경영,2021년6월1주
622.0,이기적 유전자,,116296,리처드 도킨스,True,기타 출판사,1993-11-01,9000,8100,527.0,대학교재/전문서적,2002년8월3주
175.0,프랑스 향수보다 마음의 향기가 오래간다,,155121,이상은,False,기타 출판사,1993-11-01,4000,3600,164.0,소설/시/희곡,2005년2월1주
892.0,예수님을 따르라 -상,,105803,귄터크랄만,False,기타 출판사,1993-12-01,2000,1800,44.0,종교/역학,2005년2월1주
818.0,나 가꾸기,,27051,이영희,False,기타 출판사,1993-12-01,1500,1350,105.0,종교/역학,2002년8월3주
367.0,미학 오디세이 1,,54561,진중권,False,기타 출판사,1994-01-01,7000,6650,414.0,예술/대중문화,2001년1월3주
919.0,수레바퀴 밑에서,,83710,헤르만 헤세,False,기타 출판사,1994-03-01,7000,6300,299.0,소설/시/희곡,2002년8월3주
1000.0,주주맹자,,134493,김동길.허호구,False,기타 출판사,1994-04-01,16000,16000,24.0,대학교재/전문서적,2001년1월3주
306.0,성공하는 사람들의 7가지 습관,,190659,스티븐 코비,True,김영사,1994-04-01,11900,10710,2436.0,자기계발,2002년8월3주
596.0,미학 오디세이 2,,191209,진중권,False,기타 출판사,1994-04-01,7000,6650,263.0,예술/대중문화,2001년1월3주
887.0,오행은 뭘까,,107339,전창선.어윤형,False,기타 출판사,1994-06-01,7500,6750,991.0,인문학,2001년1월3주
794.0,창조의 비밀,,140656,김영길,True,기타 출판사,1994-06-01,5000,4500,42.0,종교/역학,2005년2월1주
706.0,무량수전 배흘림기둥에 기대서서,,50869,최순우,False,기타 출판사,1994-06-01,15000,13500,2294.0,역사,2002년8월3주
122.0,나의 문화유산답사기 2,,28315,유홍준,False,창비,1994-07-01,13000,11700,4486.0,인문학,2002년8월3주
46.0,똑똑한 우리아이 왜 공부안하나?,,43430,전정재,False,시공사,1994-07-01,8000,7200,176.0,좋은부모,2002년8월3주
763.0,쉽게 찾는 우리꽃 - 여름,,85561,김태정,False,기타 출판사,1994-07-01,15000,13500,2109.0,과학,2002년8월3주
624.0,우연과 행운의 과학적 발견이야기,,110525,로이스톤M.로버츠,False,기타 출판사,1994-09-01,7000,6300,100.0,과학,2013년4월4주
549.0,쥐 I,,333001,아트 슈피겔만,True,기타 출판사,1994-09-01,7500,6750,7429.0,만화,2005년2월1주
586.0,ELITE 종합 TOEIC,(교재 + 테이프),178134,민선식,True,와이비엠,1994-11-01,42000,37800,49.0,외국어,2001년1월3주
448.0,미당 시전집 1,,53640,서정주,False,민음사,1994-12-01,16000,15200,760.0,소설/시/희곡,2001년1월3주
939.0,미당 시전집 2,,53641,서정주,False,민음사,1994-12-01,18000,17100,508.0,소설/시/희곡,2001년1월3주
821.0,쉽게 찾는 우리꽃 - 가을 겨울,,85559,김태정,False,기타 출판사,1994-12-01,15000,13500,1787.0,과학,2002년8월3주
201.0,어린이 책을 읽는 어른,,98794,이주영,False,웅진지식하우스,1994-12-01,5000,4500,829.0,좋은부모,2005년2월1주
836.0,태백산맥 2,,190184,조정래,False,해냄,1995-01-01,6800,6120,355.0,소설/시/희곡,2001년1월3주
971.0,태백산맥 4,,190187,조정래,False,해냄,1995-01-15,6800,6120,365.0,소설/시/희곡,2001년1월3주
661.0,태백산맥 6,,190190,조정래,False,해냄,1995-01-15,6800,6120,365.0,소설/시/희곡,2001년1월3주
756.0,태백산맥 7,,190191,조정래,False,해냄,1995-01-15,6800,6120,371.0,소설/시/희곡,2001년1월3주
566.0,옛이야기 들려주기,,106472,서정오,False,기타 출판사,1995-02-01,7000,6300,3198.0,사회과학,2002년8월3주
716.0,골프스윙,,11501,데이비드 리드베터,False,기타 출판사,1995-02-01,25000,22500,859.0,건강/취미,2005년2월1주
947.0,아리랑 9,,189821,조정래,False,해냄,1995-02-01,6800,6120,190.0,소설/시/희곡,2001년1월3주
531.0,나는 빠리의 택시운전사,,27394,홍세화,False,창비,1995-03-01,8500,7650,4147.0,에세이,2005년2월1주
775.0,물질문명과 자본주의 1-1,,53100,페르낭 브로델,False,까치,1995-03-01,18000,16200,2169.0,역사,2002년8월3주
601.0,50일간의 유럽 미술관 체험 1,,2038,이주헌,False,기타 출판사,1995-06-01,15000,13500,1505.0,예술/대중문화,2002년8월3주
927.0,50일간의 유럽 미술관 체험 2,,2039,이주헌,False,기타 출판사,1995-06-01,15000,13500,947.0,예술/대중문화,2001년1월3주
908.0,아리랑 11,,189823,조정래,False,해냄,1995-07-01,6800,6120,200.0,소설/시/희곡,2001년1월3주
584.0,"시험에 나오는 TOEIC 단어, 숙어",,88173,이소영,False,와이비엠,1995-07-01,15000,13500,80.0,외국어,2001년1월3주
199.0,중학생이 알아야 할 시,,136765,구인환,False,기타 출판사,1995-08-01,7000,6300,1257.0,청소년,2002년8월3주
290.0,로마인 이야기 1,,44607,시오노 나나미,True,한길사,1995-09-01,15500,13950,12777.0,역사,2002년8월3주
867.0,로마인 이야기 2,,44608,시오노 나나미,True,한길사,1995-09-01,18500,16650,9517.0,역사,2005년2월1주
74.0,ONE TO ONE,,182653,IVP(한국기독학생회출판부) 편집부,False,기타 출판사,1995-09-20,2800,2660,3152.0,종교/역학,2001년1월3주
614.0,무엇을 어떻게 쓸까,,51158,이오덕,False,기타 출판사,1995-10-01,6000,5400,689.0,좋은부모,2005년2월1주
360.0,로마인 이야기 3,,44609,시오노 나나미,True,한길사,1995-11-01,15500,13950,8003.0,역사,2002년8월3주
228.0,그 산이 정말 거기 있었을까,,19395,박완서,False,웅진지식하우스,1995-12-01,7000,6300,1280.0,소설/시/희곡,2002년8월3주
785.0,밥짓는 시인 퍼주는 사랑 1,,57955,최일도,False,기타 출판사,1995-12-01,5000,4500,40.0,에세이,2001년1월3주
648.0,밥짓는 시인 퍼주는 사랑 2,,57956,최일도,False,기타 출판사,1995-12-01,5000,4500,33.0,에세이,2001년1월3주
878.0,백성의 것을 억지로 빼앗지 마라,,58882,윤재근,False,기타 출판사,1995-12-01,6500,5850,21.0,인문학,2002년8월3주
701.0,그 많던 싱아는 누가 다 먹었을까,,21118,박완서,False,웅진지식하우스,1995-12-15,7000,6300,9948.0,소설/시/희곡,2005년2월1주
821.0,이 시대를 사는 따뜻한 부모들의 이야기 1,,116004,이민정,False,김영사,1995-12-26,9900,8910,5131.0,좋은부모,2005년2월1주
866.0,화성남자 금성여자의 침실가꾸기,,173075,존 그레이,True,기타 출판사,1996-01-01,9000,8100,781.0,요리/살림,2002년8월3주
233.0,상대적이며 절대적인 지식의 백과사전,,72531,베르나르 베르베르,True,열린책들,1996-01-01,10000,9000,5793.0,과학,2005년2월1주
278.0,새의 선물,,73932,은희경,False,문학동네,1996-01-01,9800,8820,3695.0,소설/시/희곡,2005년2월1주
917.0,하나님을 아는 지식,,156744,제임스 패커,True,기타 출판사,1996-02-01,12000,10800,737.0,종교/역학,2002년8월3주
703.0,소피의 세계,(합본),82904,요슈타인 가아더,True,기타 출판사,1996-02-01,19500,17550,7694.0,인문학,2005년2월1주
907.0,한권으로 읽는 조선왕조실록,,164204,박영규,False,기타 출판사,1996-03-01,10000,9000,1325.0,역사,2002년8월3주
956.0,연어,,189060,안도현,False,문학동네,1996-03-01,10000,9000,30507.0,소설/시/희곡,2013년4월4주
505.0,설득의 심리학,,267184,로버트 치알디니,True,21세기북스,1996-03-01,9500,8550,332.0,자기계발,2002년8월3주
666.0,노동의 종말,,31896,제레미 리프킨,True,민음사,1996-03-01,12000,10800,873.0,사회과학,2005년2월1주
957.0,당신의 직업 하나님의 계획입니다,,36260,빌 하이벨스,False,기타 출판사,1996-03-01,5000,4500,66.0,종교/역학,2005년2월1주
335.0,로마인 이야기 4,,44610,시오노 나나미,True,한길사,1996-03-01,19500,17550,8025.0,역사,2002년8월3주
945.0,물질문명과 자본주의 2-2,,53103,페르낭 브로델,True,까치,1996-03-01,18000,16200,1425.0,역사,2002년8월3주
164.0,예수님을 따르는 삶,,105802,배리 클레어,False,기타 출판사,1996-04-20,2500,2250,41.0,종교/역학,2005년2월1주
540.0,바람의 딸 걸어서 지구 세바퀴 반 1,,56275,한비야,False,기타 출판사,1996-06-17,9000,8100,5847.0,여행,2005년2월1주
281.0,며느리에게 주는 요리책,,49060,장선용,False,기타 출판사,1996-06-26,11000,11000,3914.0,요리/살림,2002년8월3주
942.0,세계의 끝과 하드보일드 원더랜드 1,,79845,무라카미 하루키,True,기타 출판사,1996-06-28,13800,12420,4061.0,소설/시/희곡,2001년1월3주
401.0,이갈리아의 딸들,,116061,게르드 브란튼베르그,True,황금가지,1996-07-01,13000,11700,19036.0,소설/시/희곡,2019년1월3주
