BName,BName_sub,ItemId,Author,Author_mul,Publshr,Pdate,RglPrice,SlsPrice,SalesPoint,Category
"[  78  218   78 1081 2642  342  106    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],120332,1614,False,26,1988-12-01,6500,5850,461.0,[43  1 44  0  0]
"[715  70 795   2 373   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],20647,2927,True,0,1989-03-01,6500,5850,433.0,[15  0  0  0  0]
"[7179   87 2104  104 6090    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],92054,0,False,0,1989-05-01,12000,12000,123.0,[154 121   1 159 161]
"[ 552  510    2  848   13 4413    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],122785,520,False,12,1989-05-30,12000,10800,24086.0,[4 1 3 1 5]
"[844 136   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],190194,112,False,19,1989-10-01,6800,6120,380.0,[4 1 3 1 5]
"[844  93   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],190195,112,False,19,1989-10-01,6800,6120,383.0,[4 1 3 1 5]
"[341   2 224 329   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],142276,0,False,0,1990-06-01,6000,5700,534.0,[154 121   1 159 161]
"[1569  107    2 3112   70  516  102 1109    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],221010,0,False,0,1990-07-01,6000,5400,412.0,[43  1 44  0  0]
"[6101   40    2 1847    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],41419,2627,False,0,1990-09-01,12000,10800,399.0,[154 121   1 159 161]
"[904  12   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],190354,578,False,27,1990-11-01,7000,6300,2137.0,[4 1 3 1 5]
