순번/순위,구분,상품명,ItemId,ISBN13,부가기호,저자/아티스트,출판사/제작사,출간일,정가,판매가,마일리지,세일즈포인트,대표분류(대분류명),source
783.0,국내도서,소수 집단의 문학을 위하여: 카프카론,82626,9788932005430,,"질 들뢰즈 외 지음, 조한경 옮김",문학과지성사,1992-03-01,5000,4500,250점,164.0,소설/시/희곡,2001년1월3주
754.0,국내도서,하나님을 경외하는 마음,156723,9788985289009,3230.0,조이도우슨,예수전도단,1992-05-01,5000,4500,250점,1480.0,종교/역학,2005년2월1주
427.0,국내도서,성경전서 표준새번역,78023,9788941210016,,대한성서공회 엮음,대한성서공회,1993-01-01,22000,19800,"1,100점",50.0,종교/역학,2001년1월3주
899.0,국내도서,예수님의 생애,105869,,,"조준상 그림, 이숙희 글",옥토출판사,1993-04-01,4000,3800,120점,630.0,종교/역학,2001년1월3주
77.0,국내도서,꼭 읽어야 할 한국단편 35선,26110,9788985431057,43810.0,현진건 외 지음,타임기획,1993-05-01,13800,12420,690점,1485.0,청소년,2005년2월1주
225.0,국내도서,나의 문화유산답사기 1,28314,9788936470111,3810.0,유홍준 지음,창비,1993-05-01,13000,11700,130점,6770.0,인문학,2005년2월1주
315.0,국내도서,섬,77430,9788937402852,4860.0,"장 그르니에 지음, 김화영 옮김",민음사,1993-07-01,8500,7650,420점,8859.0,에세이,2002년8월3주
859.0,국내도서,나는 왜 너가 아니고 나인가,27506,9788935700356,,"시애틀 추장 외 여러 명의 인디언 지음, 류시화 옮김",정신세계사,1993-08-01,6500,5850,320점,332.0,에세이,2002년8월3주
750.0,국내도서,글쓰기 어떻게 가르칠까,21582,9788985494014,3370.0,이오덕 지음,보리,1993-08-15,11000,9900,550점,4156.0,인문학,2005년2월1주
750.0,국내도서,간디 자서전,4103,,,"간디 지음, 함석헌 옮김",한길사,1993-08-30,13000,11700,650점,393.0,사회과학,2001년1월3주
573.0,국내도서,관세음보살보문품,13667,,,선문 편집부 엮음,선문출판사,1993-09-01,3000,2700,150점,242.0,종교/역학,2011년12월5주
